Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;فرح;أكادير;;30.3993056;-9.5658333;;;
admin;🏛️;Agadir Al Fiddia;AGADIR, AGADIR;;30.4079;-9.5554;;;
admin;🏛️;Bensergao;AGADIR, AGADIR;;30.393;-9.5686;;;
transport;🚌;Jamal Dourra;;;30.4059458;-9.5523478;;;
ecole;🎓;ayoub bouihima agadiiir;;;30.3990205;-9.5715422;;;
cafe;☕;Café Bouham مقهى بوهام;Barreau Est/Ouest;;30.3939965;-9.5731285;;;Mo-Su 08:00-22:30
banque;🏦;Canal M تحويل الأموال كنال إم;av boujdour;;30.3988027;-9.5564051;;+212 6 00 39 84 44;"Mo-Fr 09:00-20:00; Sa 09:00-17:00"
cafe;☕;Café Aslal مقهى أسلال;Avenue Jamal Abdennaser;;30.4090353;-9.5673744;;;Mo-Su 06:00-22:00
banque;🏦;Saham Bank سهام بنك;;;30.4081684;-9.5558536;;;Mo-Sa 08:00-18:00
banque;🏦;CIH Bank القرض العقاري والسياحي;;;30.4072649;-9.555259;;;
banque;🏦;Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا;;;30.4074087;-9.5554816;;;
transport;🚌;Hassan I - Ext. Dakhla;;;30.4076407;-9.5557464;;;
cafe;☕;Jnane Fruits;;;30.409336;-9.5573262;;;24/7
transport;🚌;Alsa 12 - 22;;;30.4090043;-9.5579672;;;
transport;🚌;Alsa 12 -22;;;30.4088979;-9.5581335;;;
magasin;🛒;Carrefour Market;;;30.4110976;-9.5615744;;;
pharmacie;💊;Pharmacie Ennajd صيدلية النجد;AGADIR;;30.4077853;-9.556302;;;
transport;🚌;Marjane;;;30.3952886;-9.5795578;;;
transport;🚌;Jet Sakane;;;30.3986923;-9.5505524;;;
transport;🚌;Farah 1;;;30.4005662;-9.5541143;;;
transport;🚌;Imm Farah;;;30.3994558;-9.5560455;;;
transport;🚌;Wifaq 2;;;30.3980214;-9.5610452;;;
transport;🚌;Wifaq 1;;;30.3947085;-9.558599;;;
transport;🚌;Douar Amzil;;;30.3922375;-9.5588726;;;
transport;🚌;Av Laayoune;;;30.3904144;-9.5620886;;;
transport;🚌;Bensergao Centre;;;30.3912022;-9.5685178;;;
transport;🚌;Wifaq Terminus;;;30.3924272;-9.571766;;;
transport;🚌;Av. Omar Benjelloun - Riad Salam;;;30.4100693;-9.5741022;;;
transport;🚌;Massira Toumbouktou;;;30.410757;-9.5711855;;;
transport;🚌;Ecole Massira;;;30.407733;-9.5660877;;;
transport;🚌;3Eme Arrondissement Urbain;;;30.4057667;-9.5628288;;;
transport;🚌;Barreau Est - Ouest Encg;;;30.4037749;-9.5539078;;;
transport;🚌;Hassan I - L'Ghazali;;;30.4095558;-9.5596075;;;
transport;🚌;Hassan I - Cnops;;;30.4113092;-9.5631427;;;
pharmacie;💊;Pharmacie Aicha صيدلية عائشة;Agadir;;30.3885261;-9.5638686;;;
pharmacie;💊;Pharmacie Tarik El Kheir صيدلية طريق الخير;Agadir ⴰⴳⴰⴷⵉⵔ أگادير;;30.3914696;-9.5549592;;;
pharmacie;💊;Pharmacie Anouar صيدلية أنور;Agadir;;30.3906273;-9.5590497;;;
pharmacie;💊;Pharmacie Souika صيدلية سويقة;Agadir;;30.3874764;-9.5688138;;;
pharmacie;💊;Pharmacie Karima صيدلية كريمة;Agadir;;30.3890391;-9.56805;;;
pharmacie;💊;Pharmacie Moustawsaf صيدلية مستوصف;AGADIR;;30.3910703;-9.5699476;;;
pharmacie;💊;Pharmacie Hassan صيدلية حسن;Agadir;;30.388877;-9.5707336;;;
pharmacie;💊;Pharmacie El Wifaq صيدلية الوفاق;Agadir;;30.392532;-9.5636561;;;
pharmacie;💊;Pharmacie Nessrine صيدلية نسرين;Agadir;;30.3874259;-9.5729581;;;
pharmacie;💊;Pharmacie Radi صيدلية راضي;Agadir;;30.390562;-9.573639;;;
pharmacie;💊;Pharmacie La Grande Al Farah صيدلية الفرح الكبرى;Agadir;;30.3974601;-9.5684309;;;
pharmacie;💊;Pharmacie Ibn Zohr صيدلية ابن زهر;Agadir;;30.4025028;-9.5526991;;;
pharmacie;💊;Pharmacie Al Jisr صيدلية الجسر;Agadir;;30.3908949;-9.5658405;;;
pharmacie;💊;Pharmacie Oubelkhir صيدلية أوبلخير;Agadir;;30.3996068;-9.5592815;;;
pharmacie;💊;Pharmacie Chifaa Al Farah صيدلية الشفاء الفرح;Agadir;;30.3955122;-9.5580586;;;
pharmacie;💊;Pharmacie Le Complexe صيدلية المركب;Agadir;;30.3929041;-9.5611481;;;
pharmacie;💊;Pharmacie Ahl El Kheir صيدلية أهل الخير;Agadir;;30.4000382;-9.5674718;;;
pharmacie;💊;Pharmacie Odessa صيدلية أوديسا;Agadir;;30.3954828;-9.554416;;;
pharmacie;💊;Pharmacie Al Farah صيدلية الفرح;Agadir;;30.3973291;-9.5615653;;;
pharmacie;💊;Pharmacie Le Corail Salam صيدلية مرجان السلام;Agadir;;30.3999359;-9.5528638;;;
pharmacie;💊;Pharmacie Andalousia صيدلية الأندلسية;Agadir;;30.3979864;-9.5556763;;;
pharmacie;💊;Pharmacie Faiçal صيدلية فيصل;Agadir;;30.405527;-9.5531847;;;
pharmacie;💊;Pharmacie Bachouch صيدلية بشوش;Agadir;;30.4057815;-9.5607674;;;
pharmacie;💊;Pharmacie Yousra صيدلية يسرى;Agadir;;30.4117256;-9.560468;;;
pharmacie;💊;Pharmacie Chifa صيدلية شفاء;Agadir;;30.4092154;-9.5589192;;;
pharmacie;💊;Pharmacie Elmghari صيدلية المغاري;Agadir;;30.4117756;-9.5640562;;;
pharmacie;💊;Pharmacie Itry صيدلية اتري;Agadir;;30.4076204;-9.5767262;;;
pharmacie;💊;Pharmacie Toubkal صيدلية توبقال;Agadir;;30.4091709;-9.5641788;;;
pharmacie;💊;Pharmacie Al Massira صيدلية المسيرة;Agadir;;30.4109293;-9.568023;;;
pharmacie;💊;Pharmacie Al Michwar صيدلية المشوار;AGADIR;;30.3946862;-9.5710401;;;
pharmacie;💊;Pharmacie Amjad صيدلية أمجد;Agadir;;30.3981152;-9.5724017;;;
pharmacie;💊;Pharmacie El Alami صيدلية العلمي;Agadir;;30.4067855;-9.5742029;;;
pharmacie;💊;Pharmacie Haut Founty صيدلية فونتي العليا;Agadir;;30.4012335;-9.5795913;;;
pharmacie;💊;Pharmacie Hay Founty صيدلية حي فونتي;Agadir;;30.4017834;-9.5730536;;;
